STATIONS,FEEDERS,INSTALLED CAPACITY PV (MW),PV,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,Net metering (MW),Wheeling PV (MW),,
AQABA A2,Transformer 1HO &2HO,7.0,7.589,,,
,8L5 ELAH,9.965,7.015,2.95,,
,9L5 A6,,,,,sum()
,10L5 A5 (2),3.237,3.237,,,
,11L5 A5 (1),1.227,1.227,,,
,12L5 SARAYA2,1.0,1,,,
,13L5 SARAYA1,0.85,0.85,,,
,14L5 EDCO10,,,,,
,5L5,0.781,0.781,,,
AQABA INDUSTRIAL,5L5,2.866,2.866,,,
,6L5,6.401,6.401,,,
,,,,,,
,INDUST1 1L5,1.125,1.125,,,
,INDUST2 2L5,1.15,1,0.15,,
,INDUST3 3L5,0.812,0.812,,,
,INDUST4 4L5,0.357,0.357,,,
,W-ARABA 7L5,1.682,1.467,0.215,,
AQABA THERMAL,P-ROAD 7L5,0.587,0.587,,,
,BEHIND ROD 11L5,1.654,1.654,,,
,EDCO10 16L5,,,,,
,EDCO3 9L5,,,,,
,EDCO4 10L5,,,,,
,EDCO6 12L5,,,,,
,FERTILIZER 3L5,,,,,
,KEMAPCO2 4L5,0.275,0.275,,,
,OIL-GAS PO 5L5,0.397,0.397,,,
,PORT1 13L5,,,,,
,PORT2 14L5,,,,,
,REFINARY 1L5,,,,,
,SAHILI 8L5,1.26,0.26,1,,
AZRAQ,DUGELA 2L5,5.5,3.5,2,,
,EL-AMRI 1L5,5.44,3.5,1.94,,
RWAISHD,RWAISHD,0.69,0.69,,,
RESHAH,RESHAH,0.14,0.14,,,
SFAWI,SFAWI,0.09,0.09,,,
DISI,FEEDER12 12L5,,,,,
,FEEDER4 5L5,,,,,
,FEEDER5 3L5,,,,,
,FEEDER6 1L5,,,,,
,FEEDER7 2L5,,,,,
,FEEDER8 4L5,,,,,
,MUDWARA B 6L5,0.09,0.09,,,
,RING 1-A 8L5,,,,,
,RING 1-B 7L5,,,,,
,RING 2-A 10L5,,,,,
,RING 2-B 9L5,,,,,
,SAHEL SAW 11L5,,,,,
EL_HASA,TAFILA TOW 6L5,2.185,1.165,1.02,,
,W WELLS 5L5,,,,,
GHORSAFI,B MATHKOR 10L5,0.703,0.703,,,
,BROMINE 1 7L5,,,,,
,BROMINE 2 8L5,,,,,
,MAGNESIA1 5L5,,,,,
,MAGNESIA2 6L5,,,,,
,SAFI 9L5,3.87,0.7,3.17,,
ISHTAFINA,ISHTAFIN 33 JV1 5L5,,,,,
,ISHTAFIN 33 JV4 6L5,1.178,1.178,,,
KARAK,HAWEAH 2L5,1.56,1.56,,,
,TRANSFORMER,1.9,1.9,,,
,INDUST1 3L5,2.17,1.17,1,,
,NORTH1 1L5,0.223,0.223,,,
,NORTH2 4L5,6.502,2.432,4.07,,
